ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9049060";"Fuentes de beber";"133";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444047.2";"4470784.43";"ETRS89";40.38577483;-3.65921666;"CALLE";"PUERTO DE COSTABONA";"5";"28018";"fFRENTE FAROLA 5, JUNTO AREA INFANTIL DEL PARQUE JAVIER DE MIGUEL";"20099401";;"FUE_13_0175";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"9049061";"Fuentes de beber";"133";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444148.48";"4471010.36";"ETRS89";40.38781693;-3.65804330;"CALLE";"MARIA TERESA ROBLEDO";"3";"28018";"EN ACCESO A NIVEL INFERIOR PARQUE, FRENTE FUE_13_0176";"31037826";"2022-11-03 00:00:00.0";"FUE_13_0177";"FUE22";"ZV";"MASCOTAS";"BEBEDERO NEPTUNO"
"9185054";"Fuentes de beber";"107";"AGUILAS";"10";"LATINA";"OPERATIVO";"434907.420";"4471157.310";"ETRS89";40.38846992;-3.76692801;"CALLE";"ONIL";"12";"28044";"FRENTE C/ NAVACEPEDILLA, PROXIMO A AREA INFANTIL DEL PARQUE";"20098477";"2023-03-13 00:00:00.0";"FUE_10_0130";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9191525";"Fuentes de beber";"166";"VALDEFUENTES";"16";"HORTALEZA";"CERRADA_TEMPORALMENT";"444600.304";"4483800.908";"ETRS89";40.50307102;-3.65383583;"CALLE";"VICENTE BLASCO IBAÑEZ";"81";"28050";"PARQUE DE VICENTE BLASCO IBAÑEZ";"31025091";"2023-03-13 00:00:00.0";"FUE_16_0177";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA TERRIER"
"9198730";"Fuentes de beber";"183";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"CERRADA_TEMPORALMENT";"448219.55";"4468957.18";"ETRS89";40.36958344;-3.60991376;"CALLE";"CORRAL DE ALMAGUER";"29";"28051";"ENTRE FAROLAS 32 Y 34, EN PASEO CENTRAL DEL PARQUE";"31027595";"2023-03-24 00:00:00.0";"FUE_18_0081";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9212801";"Fuentes de beber";"172";"SAN CRISTOBAL";"17";"VILLAVERDE";"CERRADA_TEMPORALMENT";"441871.99";"4465752.96";"ETRS89";40.34029944;-3.68438398;"CALLE";"PATERNA";"45 D";"28021";"JUNTO PASARELA PEATONAL (PUENTE DE SAN CRISTOBAL)";"31033566";"2023-04-14 00:00:00.0";"FUE_17_0140";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9278148";"Fuentes de beber";"123";"SAN FERMIN";"12";"USERA";"OPERATIVO";"441786.72";"4468749.32";"ETRS89";40.36728652;-3.68566121;"CAMINO";"PERALES";"156";"28041";"ENTRE FAROLAS 78 Y 79, EN ZONA DE MERCADILLO DE SAN FERMIN";"20141736";"2023-07-04 00:00:00.0";"FUE_12_0086";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9278180";"Fuentes de beber";"171";"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE";"17";"VILLAVERDE";"CERRADA_TEMPORALMENT";"439139.35";"4466390.02";"ETRS89";40.34584361;-3.71661576;"PASEO";"FERROVIARIOS";"45";"28021";"FRENTE Nº 45, EN PARQUE PLATA Y CASTAÑAR PROXIMO A FAROLA 20";"11124622";"2023-07-04 00:00:00.0";"FUE_17_0142";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9285545";"Fuentes de beber";"182";"SANTA EUGENIA";"18";"VILLA DE VALLECAS";"OPERATIVO";"447690.025";"4470245.615";"ETRS89";40.38115750;-3.61625635;"CALLE";"SIERRA GORDA";"31";"28031";"C/V C/ AGUSTIN GARCIA MALLA, JUNTO FAROLA 30";"31054960";"2023-07-14 00:00:00.0";"FUE_18_0082";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"9290189";"Fuentes de beber";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"447256.688";"4474628.605";"ETRS89";40.42061499;-3.62172429;"CALLE";"ARCOS DE JALON";"20";"28037";"C/V C/ SAN ROMAN DEL VALLE, JUNTO FAROLA 14";"31024171";"2023-07-28 00:00:00.0";"FUE_20_0136";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
